GEOID,NAME,inc_n,fem_n,sexf_n,inc_pct,gi_z,gi,lisa,lisa_sig,streetlight_n,poor_pave_ft,street_ft,sidewalk_n,dist_subway_km,vacant_n,aband_n,poverty_rate,renter_share,vacancy_rate,female_pop,total_pop
36047019800,Census Tract 198; Kings County; New York,34,10,0,1.8650575973669774,-1.9808704455951163,Cold 99%,Low-Low,p <= 0.01,23,779.4268113604786,50851.262096805905,21,0.6565883768539348,0,4,0.13658804168952277,0.35384615384615387,0.12398921832884097,886,1823
36047008200,Census Tract 82; Kings County; New York,78,33,0,1.9573400250941029,-0.019991144164641733,Not significant,Not significant,Not significant,35,5159.739121373527,52290.91785464592,40,0.2862335038122525,3,2,0.30963187090267275,0.8130081300813008,0.07460815047021943,2161,3985
36047011400,Census Tract 114; Kings County; New York,91,34,0,2.4708118381754005,-1.3287801733810871,Not significant,Not significant,Not significant,22,2744.5373342854373,70250.79410826079,29,0.44694526389125455,4,1,0.17863720073664824,0.7858796296296297,0.2781954887218045,1990,3683
36047014800,Census Tract 148; Kings County; New York,21,7,0,1.70316301703163,-2.0098798066048174,Cold 99%,Low-Low,p <= 0.001,16,519.5405393437082,48809.71460236059,8,1.1041011823018503,3,0,0.07768595041322314,0.25307125307125306,0.11521739130434783,562,1233
36047000301,Census Tract 3.01; Kings County; New York,146,48,0,3.243723616974006,0.20384058424333884,Not significant,Not significant,Not significant,68,13731.377149073225,63231.804154150115,45,0.3811250575309715,2,6,0.051779197080291973,0.5095238095238095,0.10638297872340426,2277,4501
36047025500,Census Tract 255; Kings County; New York,78,23,0,1.5789473684210527,-0.5487670019544698,Not significant,Not significant,Not significant,44,17664.330896555814,55042.07043854841,9,0.34286788320325884,0,0,0.3220647773279352,0.9851816443594646,0.015065913370998116,3058,4940
36047025901,Census Tract 259.01; Kings County; New York,135,61,0,6.089309878213802,-0.9941682217772304,Not significant,Not significant,Not significant,44,1590.8668797459036,29112.771336142447,11,0.24261834191391798,6,13,0.21380243572395127,0.8701923076923077,0.03480278422273782,1011,2217
36047028502,Census Tract 285.02; Kings County; New York,58,22,0,1.8447837150127226,-0.21418331050866388,Not significant,Not significant,Not significant,11,1429.4481254426942,21152.862545854612,7,0.3123882520069781,0,0,0.5324427480916031,1,0.024650780608052588,1640,3144
36047030600,Census Tract 306; Kings County; New York,87,30,0,4.571728849185496,-1.1305590259334823,Not significant,Not significant,Not significant,27,3477.5535954778265,68752.54961550325,17,0.32603294936237937,22,0,0.13734812466983623,0.34523809523809523,0.058823529411764705,936,1903
36047032700,Census Tract 327; Kings County; New York,171,79,0,5.738255033557047,0.09005104346026982,Not significant,Not significant,Not significant,295,7192.748844241183,57093.0745645879,31,0.31865589695599955,5,1,0.13053691275167786,0.7985915492957747,0.05016722408026756,1651,2980
